product_name,brand,category,review_text,rating,sentiment,skin_type,review_date,price_range,verified_purchase
Hydrating Face Cream,NeutriGlow,Moisturizer,Caused irritation and redness,1,Negative,Combination,08-09-2022,Mid,Yes
Hydrating Face Cream,NeutriGlow,Moisturizer,Very effective and gentle on my skin,5,Positive,Oily,28-08-2023,Mid,No
Hydrating Face Cream,NeutriGlow,Moisturizer,Very disappointing product,1,Negative,Dry,27-08-2022,Mid,Yes
Vitamin C Serum,SkinPure,Serum,My skin feels smooth and healthy,5,Positive,Sensitive,14-08-2022,High,No
Aloe Vera Gel,NatureCare,Gel,No improvement after usage,1,Negative,Dry,16-12-2023,Low,No
Aloe Vera Gel,NatureCare,Gel,Did not suit my skin,2,Negative,Dry,21-02-2024,Low,No
Hydrating Face Cream,NeutriGlow,Moisturizer,My skin feels smooth and healthy,4,Positive,Oily,03-01-2023,Mid,No
Aloe Vera Gel,NatureCare,Gel,Not worth the money,1,Negative,Sensitive,04-07-2023,Low,Yes
Hydrating Face Cream,NeutriGlow,Moisturizer,My skin feels smooth and healthy,5,Positive,Combination,29-04-2024,Mid,No
Vitamin C Serum,SkinPure,Serum,No improvement after usage,1,Negative,Oily,09-11-2023,High,Yes
Hydrating Face Cream,NeutriGlow,Moisturizer,Not worth the money,2,Negative,Oily,25-01-2023,Mid,No
Aloe Vera Gel,NatureCare,Gel,No improvement after usage,2,Negative,Combination,30-12-2022,Low,Yes
Hydrating Face Cream,NeutriGlow,Moisturizer,I can see visible results within a week,5,Positive,Dry,01-07-2023,Mid,Yes
Sunscreen SPF 50,SunSafe,Sunscreen,Highly recommended for daily use,4,Positive,Combination,18-10-2023,Mid,Yes
Hydrating Face Cream,NeutriGlow,Moisturizer,Not worth the money,2,Negative,Oily,04-04-2024,Mid,No
Aloe Vera Gel,NatureCare,Gel,Caused irritation and redness,1,Negative,Dry,04-08-2023,Low,No
Sunscreen SPF 50,SunSafe,Sunscreen,I can see visible results within a week,4,Positive,Sensitive,27-05-2022,Mid,No
Vitamin C Serum,SkinPure,Serum,My skin feels smooth and healthy,5,Positive,Normal,27-09-2022,High,No
Sunscreen SPF 50,SunSafe,Sunscreen,"Product is okay, nothing special",3,Neutral,Dry,22-05-2022,Mid,No
Hydrating Face Cream,NeutriGlow,Moisturizer,Not worth the money,1,Negative,Dry,05-10-2023,Mid,Yes
Anti-Acne Face Wash,ClearSkin,Cleanser,Very disappointing product,1,Negative,Sensitive,26-01-2023,Low,No
Aloe Vera Gel,NatureCare,Gel,My skin feels smooth and healthy,5,Positive,Oily,28-11-2023,Low,Yes
Aloe Vera Gel,NatureCare,Gel,"Average results, expected more",3,Neutral,Oily,28-10-2022,Low,No
